probeId	ensemblId	geneSymbol	plus	minus	AveExpr	F	P.Value	adj.P.Val
86	GgaAffx.12681.1.S1_s_at	ENSGALG00000015637	RPL7	11.9153902273508	11.9610995439194	11.9382448856351	7208.40201855034	1.56817957421558e-17	1.40834698507332e-14
87	GgaAffx.12742.1.S1_at	ENSGALG00000005507	NONO	10.4926206678491	10.5438569331794	10.5182388005142	5437.24220845858	7.12402004769018e-17	1.40834698507332e-14
88	GgaAffx.12833.1.S1_s_at	ENSGALG00000002377	ENO1	10.196866214967	10.3520040193898	10.2744351171784	5598.76379846586	6.08822709915273e-17	1.40834698507332e-14
89	GgaAffx.12840.1.S1_s_at	ENSGALG00000011272	RAB5A	10.4818422192022	10.1682907734362	10.3250664963192	5814.37536916994	4.97060407711434e-17	1.40834698507332e-14
90	GgaAffx.12938.9.S1_at	ENSGALG00000002906	TARDBP	11.350308308492	11.3394336750811	11.3448709917865	6346.98199504244	3.10525364407171e-17	1.40834698507332e-14
91	GgaAffx.12967.1.S1_s_at	NA	HSP90AA1	11.1864772804454	11.2143816343748	11.2004294574101	6230.77196620386	3.42906166432158e-17	1.40834698507332e-14
92	GgaAffx.20131.1.S1_s_at	NA	NA	10.7187304211753	10.8985006776314	10.8086155494034	5420.9400529852	7.23975895699817e-17	1.40834698507332e-14
93	GgaAffx.20642.1.S1_s_at	ENSGALG00000007965	HN1	11.1925357879279	11.185060412771	11.1887981003495	6370.1481794116	3.04511580239757e-17	1.40834698507332e-14
94	GgaAffx.21196.1.S1_s_at	ENSGALG00000002232	RERE	10.3900182787276	10.6388271588635	10.5144227187955	6261.50780275841	3.33967462322436e-17	1.40834698507332e-14
95	GgaAffx.24253.1.S1_at	ENSGALG00000000454	KPNB1	10.3687082600132	10.6682651832495	10.5184867216313	5944.67763345263	4.41312831475493e-17	1.40834698507332e-14
96	GgaAffx.24253.1.S1_at	NA	LOC777455	10.3687082600132	10.6682651832495	10.5184867216313	5944.67763345263	4.41312831475493e-17	1.40834698507332e-14
97	GgaAffx.25338.4.S1_s_at	ENSGALG00000001962	PTBP1	10.292693651323	10.3923993546106	10.3425465029668	5736.35228014825	5.34442016905151e-17	1.40834698507332e-14
98	GgaAffx.4466.1.S1_s_at	ENSGALG00000007131	HMGN5	11.6600462404218	11.6206762250908	11.6403612327563	6208.64012880298	3.49518639349001e-17	1.40834698507332e-14
99	GgaAffx.6007.1.S1_s_at	ENSGALG00000009565	EIF2S1	10.4389411498659	10.3709863434142	10.4049637466401	5506.41947785863	6.65666602928407e-17	1.40834698507332e-14
100	GgaAffx.8270.1.S1_at	ENSGALG00000013041	CCT5	10.9655986939978	10.9030124332576	10.9343055636277	6367.11434438521	3.05291231235131e-17	1.40834698507332e-14
